model,n_games,accuracy,log_loss,brier,ece,spread_mae,spread_rmse,ats_pct,ats_n,ats_units,total_mae,total_rmse,ou_pct
home_team,2524,0.5461049284578696,0.6893017042980283,0.2480775522411291,0.00946300155758284,11.086593935493354,14.292739731246499,0.5123832724319936,2463,-53.72727272727275,11.09017895131746,14.024834401246746,0.49760191846522783
elo,2524,0.6391096979332274,0.6353737877757056,0.22228772670120484,0.024600165973186785,10.28569936019224,13.26694502691305,0.4985789687373122,2463,-118.63636363636374,11.09017895131746,14.024834401246746,0.49760191846522783
vegas,2524,0.6657392686804452,0.6077141908267445,0.21018051149349493,0.024617102448162318,9.877773375594295,12.807033496210535,0.5083231831100284,2463,-72.81818181818176,10.51188589540412,13.344967355683087,0.5151878497202238
linear,2524,0.6454689984101749,0.6404428640327341,0.2235621788427629,0.03835678454277549,10.337197314263399,13.341849110081823,0.5131952902963866,2463,-49.90909090909099,11.115500821290512,14.002642603596147,0.5067945643485212
lightgbm,2524,0.6414944356120826,0.6440874066195328,0.22506886761281453,0.040724140446459035,10.439440211995047,13.478901160062703,0.49533089727974017,2463,-133.909090909091,11.244283130034074,14.202106444939647,0.4988009592326139
linear_plus_vegas,2524,0.6728934817170111,0.6206177683540346,0.2147637231074885,0.03086979365607728,10.0176726152401,12.977943830144742,0.5225334957369062,2463,-6.0,10.674565248316581,13.507898850163363,0.5027977617905676
lightgbm_plus_vegas,2524,0.6569952305246423,0.6262730958562795,0.217102001432794,0.029833621190124286,10.176641185815853,13.154746658891156,0.5026390580592773,2463,-99.5454545454545,10.814141496520243,13.736478738475773,0.49320543565147884
