target,model,season,n_games,accuracy,log_loss,mae,ats_pct
h1_total,lightgbm,2020,269,,,7.149287949230772,
h1_total,lightgbm,2021,285,,,7.368745129150775,
h1_total,lightgbm,2022,284,,,7.4571391681892765,
h1_total,lightgbm,2023,285,,,6.667720600506844,
h1_total,lightgbm,2024,285,,,7.148032378226068,
h1_total,lightgbm,2025,285,,,7.376764926196694,
h1_total,lightgbm,2026,24,,,9.219450178414517,
h1_total,lightgbm_coherent,2017,267,,,7.688525162277534,
h1_total,lightgbm_coherent,2018,267,,,7.534172620352345,
h1_total,lightgbm_coherent,2019,267,,,7.473039421616099,
h1_total,lightgbm_coherent,2020,269,,,7.149287949230772,
h1_total,lightgbm_coherent,2021,285,,,7.368745129150775,
h1_total,lightgbm_coherent,2022,284,,,7.4571391681892765,
h1_total,lightgbm_coherent,2023,285,,,6.667720600506844,
h1_total,lightgbm_coherent,2024,285,,,7.148032378226068,
h1_total,lightgbm_coherent,2025,285,,,7.376764926196694,
h1_total,lightgbm_coherent,2026,24,,,9.219450178414517,
h1_total,lightgbm_plus_vegas,2017,267,,,7.701453609521743,
h1_total,lightgbm_plus_vegas,2018,267,,,7.449763757800394,
h1_total,lightgbm_plus_vegas,2019,267,,,7.242003150852505,
h1_total,lightgbm_plus_vegas,2020,269,,,6.723463134555959,
h1_total,lightgbm_plus_vegas,2021,285,,,7.284581367129247,
h1_total,lightgbm_plus_vegas,2022,284,,,7.176289867271742,
h1_total,lightgbm_plus_vegas,2023,285,,,6.455029582409803,
h1_total,lightgbm_plus_vegas,2024,285,,,7.076788297021219,
h1_total,lightgbm_plus_vegas,2025,285,,,7.097119475005114,
h1_total,lightgbm_plus_vegas,2026,24,,,9.071935825366534,
h1_total,linear,2017,267,,,7.536384416138793,
h1_total,linear,2018,267,,,7.6629308816192285,
h1_total,linear,2019,267,,,7.355901546137319,
h1_total,linear,2020,269,,,7.001550219194884,
h1_total,linear,2021,285,,,7.404958348446525,
h1_total,linear,2022,284,,,7.216940070641459,
h1_total,linear,2023,285,,,6.575063592337253,
h1_total,linear,2024,285,,,7.269343077751913,
h1_total,linear,2025,285,,,7.333818895705225,
h1_total,linear,2026,24,,,9.040025324098382,
h1_total,linear_coherent,2017,267,,,7.536384416138793,
h1_total,linear_coherent,2018,267,,,7.6629308816192285,
h1_total,linear_coherent,2019,267,,,7.355901546137319,
h1_total,linear_coherent,2020,269,,,7.001550219194884,
h1_total,linear_coherent,2021,285,,,7.404958348446525,
h1_total,linear_coherent,2022,284,,,7.216940070641459,
h1_total,linear_coherent,2023,285,,,6.575063592337253,
h1_total,linear_coherent,2024,285,,,7.269343077751913,
h1_total,linear_coherent,2025,285,,,7.333818895705225,
h1_total,linear_coherent,2026,24,,,9.040025324098382,
h1_total,linear_plus_vegas,2017,267,,,7.44683006766292,
h1_total,linear_plus_vegas,2018,267,,,7.360198127729831,
h1_total,linear_plus_vegas,2019,267,,,7.121099173691705,
h1_total,linear_plus_vegas,2020,269,,,6.666660108413756,
h1_total,linear_plus_vegas,2021,285,,,7.214502583725098,
h1_total,linear_plus_vegas,2022,284,,,7.029417557507486,
h1_total,linear_plus_vegas,2023,285,,,6.400829101818773,
h1_total,linear_plus_vegas,2024,285,,,7.108293775095442,
h1_total,linear_plus_vegas,2025,285,,,6.99681067060032,
h1_total,linear_plus_vegas,2026,24,,,8.802937785592322,
h1_total,vegas,2017,267,,,7.099836755637669,
h1_total,vegas,2018,267,,,7.479215932672307,
