strategy,n,hit,roi,p,roi_early,roi_late,bh_threshold,survives_fdr
lean_qb | wk14+ | ML dogs | edge>=0.00,88,0.4318181818181818,0.03873440002306105,0.7671602747946508,-0.11453238535337369,0.18518932827165427,0.03974696889826041,False
linear_qb | total<=44 | ATS any | edge>=3pt,491,0.5437881873727087,0.03814108498426222,0.37502767296005446,0.029706513958482506,0.047180667433832056,0.02266736953083817,False
linear | total>=48 | ATS away | edge>=3pt,149,0.5436241610738255,0.037827943868212366,0.6291321024838034,0.08125502815768307,-0.09848484848484845,0.03360569319978914,False
elo | line>7 | OU over | edge>=1.5pt,265,0.5433962264150943,0.037392795883361966,0.5234396562980825,0.00715819613457413,0.06521739130434787,0.028545071164997368,False
linear_qb | line<=3 | ATS dogs | edge>=0pt,519,0.5433526011560693,0.03730951129795067,0.37229934131196696,0.143939393939394,-0.06332992849846777,0.022509225092250923,False
neural_qbfeat | total<=44 | ATS home | edge>=0pt,519,0.5433526011560693,0.037309511297950654,0.3722993413119672,0.02479338842975211,0.04734848484848491,0.022535582498682132,False
ensemble | total>=48 | ATS away | edge>=3pt,81,0.5432098765432098,0.037037037037037084,0.7284944102117944,0.08181818181818186,-0.09090909090909087,0.03792830785450712,False
ensemble | wk1-6 | ATS any | edge>=3pt,267,0.5430711610486891,0.03677221654749749,0.5288175171996389,0.09472345835982206,-0.030058651026392928,0.028755930416447025,False
ensemble | line<=3 | ML dogs | edge>=0.05,278,0.460431654676259,0.036746911048820434,0.5875880038806691,0.12413352509544807,-0.04226016466456892,0.031655245123879815,False
neural_qbfeat | total<=44 | ATS any | edge>=3pt,453,0.543046357615894,0.03672486453943412,0.4120735419844732,0.006035458317616033,0.07161234991423675,0.024196099103848182,False
neural_qbfeat | line>7 | OU under | edge>=1.5pt,186,0.543010752688172,0.03665689149560122,0.6007160952760346,0.08888888888888895,-0.10160427807486627,0.032366895097522407,False
linear_qb | wk14+ | OU under | edge>=1.5pt,256,0.54296875,0.0365767045454546,0.539651392373067,0.10774410774410781,-0.08607350096711795,0.029230363732208754,False
neural_qbfeat | total<=44 | ML any | edge>=0.05,734,0.6376021798365122,0.03643333937884379,0.25994590397068074,0.09059172643173871,-0.010817090141794156,0.01742224565102794,False
neural_qbfeat | line 3-7 | ATS home | edge>=3pt,210,0.5428571428571428,0.0363636363636364,0.581011090534445,-0.06085043988269791,0.17653276955602543,0.03152345809172377,False
linear_qb | total<=44 | ML any | edge>=0.10,462,0.6038961038961039,0.03625412699245687,0.4050812904896411,0.03199783198062647,0.04114391707581549,0.02385345282024249,False
lean | total<=44 | ML dogs | edge>=0.05,202,0.43564356435643564,0.03613775321772093,0.6699333921483726,0.16435651858544648,-0.07325990897676046,0.03534528202424882,False
linear_qb | total<=44 | ATS home | edge>=0pt,551,0.542649727767695,0.03596766210196342,0.3755115679912713,0.06940777065258398,0.009970674486803562,0.022693726937269374,False
linear_qb | total>=48 | OU under | edge>=3.0pt,258,0.5426356589147286,0.0359408033826639,0.5451700467242382,0.10139860139860145,-0.12081339712918655,0.029520295202952032,False
lean_qb | total<=44 | ATS home | edge>=3pt,223,0.5426008968609866,0.035874439461883456,0.5746735038159795,0.04132231404958682,0.030571198712791677,0.03120716921454929,False
linear_qb | wk1-6 | OU under | edge>=3.0pt,177,0.5423728813559322,0.03543913713405243,0.6216967657347799,0.056487202118270116,0.006142506142506185,0.03328940432261466,False
lean_qb | all games | ML dogs | edge>=0.05,327,0.4434250764525994,0.035355256001216646,0.5876448787195618,0.17485244434789796,-0.10672521361114395,0.031681602530311014,False
lean_qb | total>=48 | OU any | edge>=3.0pt,284,0.5422535211267606,0.035211267605633846,0.5339306962116578,0.057618437900128085,-0.03201024327784887,0.028914074855034267,False
elo | total>=48 | ML favs | edge>=0.10,81,0.7530864197530864,0.03506635121186985,0.6092332664153602,0.08329704494750842,,0.032762256193990515,False
elo | line>7 | OU any | edge>=0.0pt,594,0.5420875420875421,0.034894398530762205,0.3720224091806646,0.03589876033057855,0.03343350864012025,0.022482867685819717,False
neural_qbfeat | wk14+ | ML dogs | edge>=0.10,106,0.42452830188679247,0.03438102576166337,0.7745793603978822,-0.005975506206555252,0.07958034156606822,0.03998418555614128,False
lean_qb | wk1-6 | OU under | edge>=0.0pt,395,0.5417721518987342,0.034292289988492576,0.47466367593805764,-0.04149377593360993,0.15289256198347112,0.026779124934106488,False
lean_qb | line 3-7 | OU under | edge>=0.0pt,443,0.5417607223476298,0.03427046993638419,0.4491831868443705,0.09090909090909095,-0.045454545454545414,0.025566684238270954,False
neural_qbfeat | total<=44 | ATS dogs | edge>=1pt,650,0.5415384615384615,0.033846153846153894,0.3650395326993373,0.001108647450110907,0.06719367588932809,0.02219293621507644,False
lean_qb | wk1-6 | ML any | edge>=0.10,226,0.588495575221239,0.03352627250856146,0.5985655202977701,0.2170951952619092,-0.15004265024478627,0.03223510806536637,False
linear | all games | ATS dogs | edge>=3pt,702,0.5413105413105413,0.03341103341103345,0.3527391590927184,0.03754940711462455,0.027462121212121257,0.02142857142857143,False
lean | wk7-13 | ML dogs | edge>=0.00,125,0.448,0.0331209583748842,0.7502980684506227,0.17815314525471335,-0.13441622302078057,0.03908803373748024,False
linear_qb | wk14+ | OU over | edge>=0.0pt,377,0.5411140583554377,0.03303592958765378,0.5011223639224566,0.006611570247933932,0.0536020583190395,0.02749077490774908,False
lean | wk1-6 | ATS home | edge>=3pt,146,0.541095890410959,0.03300124533001251,0.676766692788675,0.07905138339920956,-0.008264462809917314,0.03571428571428572,False
lean_qb | total>=48 | ATS away | edge>=0pt,366,0.5409836065573771,0.03278688524590169,0.510672851033446,0.07771260997067454,-0.061633281972264975,0.0279388508170796,False
neural_qbfeat | all games | ATS home | edge>=3pt,503,0.5407554671968191,0.03235134646665467,0.44648044001048703,0.0006269592476489482,0.07554417413572347,0.025461254612546128,False
lean_qb | total>=48 | OU under | edge>=3.0pt,270,0.5407407407407407,0.03232323232323237,0.5778281171597572,0.059545454545454596,-0.045454545454545414,0.03139167105956774,False
elo | wk7-13 | OU under | edge>=1.5pt,307,0.5407166123778502,0.03227716908498673,0.5532999986647442,0.04301552106430159,0.010695187165775444,0.029968371112282552,False
linear | total>=48 | OU any | edge>=1.5pt,505,0.5405940594059406,0.03204320432043209,0.44993058036661204,0.08629961587708072,-0.09636363636363633,0.02564575645756458,False
linear_qb | line>7 | OU over | edge>=0.0pt,333,0.5405405405405406,0.031941031941032004,0.5411407928725289,-0.0242424242424242,0.09803921568627455,0.02930943595150237,False
neural_qbfeat | line<=3 | OU under | edge>=3.0pt,185,0.5405405405405406,0.031941031941032,0.64935805808925,0.012396694214876082,0.08061749571183541,0.03460727464417501,False
linear_qb | wk7-13 | ATS any | edge>=3pt,346,0.5404624277456648,0.031791907514450914,0.535230796541094,0.05360205831903951,-0.0027137042062414774,0.028993147074327888,False
lean_qb | all games | ML dogs | edge>=0.10,270,0.43333333333333335,0.03159291606360344,0.665327002266757,0.16273705786634743,-0.1034954104550125,0.03523985239852399,False
