model,season,n_games,accuracy,log_loss,spread_mae,ats_pct
elo,2017,267,0.6629213483146067,0.6234262145894403,10.617213457605045,0.5019305019305019
elo,2018,267,0.6264150943396226,0.6344902124039249,10.276938698218176,0.5193798449612403
elo,2019,267,0.6428571428571429,0.6394127555200715,10.487221019025307,0.4708171206225681
elo,2020,269,0.6529850746268657,0.6208000390837718,9.998669426695926,0.5390334572490706
elo,2021,285,0.6091549295774648,0.6537002807085979,11.149799575502717,0.49466192170818507
elo,2022,284,0.6382978723404256,0.6358905243026388,9.067285373301408,0.4927007299270073
elo,2023,285,0.6105263157894737,0.6575744184501757,10.492347666031737,0.46863468634686345
elo,2024,285,0.6701754385964912,0.6118827355770382,10.129436976738802,0.501779359430605
elo,2025,285,0.6443661971830986,0.6358117520963709,10.14549997843473,0.5070422535211268
elo,2026,30,0.6,0.6736568983584551,12.371947652669082,0.41379310344827586
home_team,2017,267,0.5692883895131086,0.6840926480277572,11.437959037344028,0.4749034749034749
home_team,2018,267,0.5962264150943396,0.6763131577520051,10.630094036928146,0.5310077519379846
home_team,2019,267,0.5225563909774437,0.6968076421666888,11.602583246018764,0.5175097276264592
home_team,2020,269,0.5,0.7002093876051765,11.085505058507577,0.5576208178438662
home_team,2021,285,0.5176056338028169,0.694794293895185,12.037439711051341,0.5266903914590747
home_team,2022,284,0.5673758865248227,0.6848852866064058,9.6047969463366,0.5291970802919708
home_team,2023,285,0.5649122807017544,0.6852758808395605,11.104646482929539,0.4907749077490775
home_team,2024,285,0.5473684210526316,0.6889392763809038,11.154156198980768,0.49110320284697506
home_team,2025,285,0.5352112676056338,0.6913456595080195,11.001887146981078,0.5
home_team,2026,30,0.5,0.698256603142379,12.425769442858044,0.4482758620689655
lightgbm,2017,267,0.6704119850187266,0.6456123233000443,11.054289321686374,0.4864864864864865
lightgbm,2018,267,0.6566037735849056,0.6630703489093371,10.510144417138568,0.47674418604651164
lightgbm,2019,267,0.6203007518796992,0.6618613749658125,10.779419809360416,0.47470817120622566
lightgbm,2020,269,0.664179104477612,0.6100925604414851,10.27297088096302,0.5018587360594795
lightgbm,2021,285,0.6267605633802817,0.6406751607058566,11.006311208264174,0.5409252669039146
lightgbm,2022,284,0.624113475177305,0.6450685304640321,9.278978850111248,0.5109489051094891
lightgbm,2023,285,0.6070175438596491,0.6823510883969236,10.654792421376998,0.46494464944649444
lightgbm,2024,285,0.656140350877193,0.616419003647429,10.243758436126093,0.5124555160142349
lightgbm,2025,285,0.6690140845070423,0.625549767523941,10.04094455384735,0.4788732394366197
lightgbm,2026,30,0.4666666666666667,0.7068389630891382,12.004138356973236,0.5517241379310345
lightgbm_plus_vegas,2017,267,0.6554307116104869,0.6248456818005762,10.696046229139831,0.47104247104247104
lightgbm_plus_vegas,2018,267,0.6415094339622641,0.6637899310267547,10.5010572704802,0.45348837209302323
lightgbm_plus_vegas,2019,267,0.650375939849624,0.6394572092980455,10.430684100253279,0.5525291828793775
lightgbm_plus_vegas,2020,269,0.6865671641791045,0.5830773178763995,9.931349351977783,0.5278810408921933
lightgbm_plus_vegas,2021,285,0.6338028169014085,0.6221452374235927,10.685918569672717,0.5231316725978647
